,3.0% CAGR,,,,,,,,,2.4% Growth,,,,,1% Growth,,,
Club,2019,2019 Rank,,2021,2022,2023,2024,2024 Rank,,2022,2023,2024,0,,2022,2023,2024,2024 Rank
Arizona Cardinals,"$12,273,835",26,,"$12,273,835","$12,642,050","$13,021,312","$13,411,951",28,,"$12,568,407","$12,870,049","$13,178,930",28,,"$12,396,574","$12,520,539","$12,645,745",28
Atlanta Falcons,"$35,308,158",6,,"$35,308,158","$36,367,403","$37,458,425","$38,582,178",8,,"$36,155,554","$37,023,287","$37,911,846",8,,"$35,661,240","$36,017,852","$36,378,030",8
Baltimore Ravens,"$20,332,058",18,,"$20,332,058","$20,942,020","$21,570,280","$22,217,389",20,,"$20,820,027","$21,319,708","$21,831,381",20,,"$20,535,379","$20,740,732","$20,948,140",20
Buffalo Bills,"$9,973,091",28,,"$9,973,091","$10,272,284","$10,580,452","$10,897,866",30,,"$10,212,445","$10,457,544","$10,708,525",30,,"$10,072,822","$10,173,550","$10,275,286",30
Carolina Panthers,"$18,532,534",19,,"$18,532,534","$19,088,510","$19,661,165","$20,251,000",21,,"$18,977,315","$19,432,770","$19,899,157",21,,"$18,717,859","$18,905,038","$19,094,088",21
Chicago Bears,"$28,408,407",9,,"$28,408,407","$29,260,659","$30,138,479","$31,042,633",11,,"$29,090,209","$29,788,374","$30,503,295",11,,"$28,692,491","$28,979,416","$29,269,210",11
Cincinnati Bengals,"$9,262,535",29,,"$9,262,535","$9,540,411","$9,826,623","$10,121,422",31,,"$9,484,835","$9,712,471","$9,945,571",31,,"$9,355,160","$9,448,711","$9,543,199",31
Cleveland Browns,"$16,838,759",20,,"$16,838,759","$17,343,922","$17,864,239","$18,400,167",22,,"$17,242,889","$17,656,719","$18,080,480",22,,"$17,007,147","$17,177,218","$17,348,990",22
Dallas Cowboys,"$68,736,729",1,,"$68,736,729","$70,798,830","$72,922,795","$75,110,479",1,,"$70,386,410","$72,075,684","$73,805,500",1,,"$69,424,096","$70,118,337","$70,819,520",1
Denver Broncos,"$22,081,594",17,,"$22,081,594","$22,744,042","$23,426,363","$24,129,154",19,,"$22,611,552","$23,154,230","$23,709,931",19,,"$22,302,410","$22,525,434","$22,750,688",19
Detroit Lions,"$13,505,593",24,,"$13,505,593","$13,910,761","$14,328,084","$14,757,926",26,,"$13,829,728","$14,161,641","$14,501,520",26,,"$13,640,649","$13,777,056","$13,914,826",26
Green Bay Packers,"$23,477,709",15,,"$23,477,709","$24,182,040","$24,907,501","$25,654,727",17,,"$24,041,174","$24,618,162","$25,208,998",17,,"$23,712,486","$23,949,611","$24,189,107",17
Houston Texans,"$46,845,999",3,,"$46,845,999","$48,251,379","$49,698,920","$51,189,888",4,,"$47,970,303","$49,121,590","$50,300,508",4,,"$47,314,459","$47,787,604","$48,265,480",4
Indianapolis Colts,"$14,863,063",22,,"$14,863,063","$15,308,955","$15,768,224","$16,241,270",24,,"$15,219,777","$15,585,051","$15,959,092",24,,"$15,011,694","$15,161,811","$15,313,429",24
Jacksonville Jaguars,"$9,983,028",27,,"$9,983,028","$10,282,519","$10,590,994","$10,908,724",29,,"$10,222,621","$10,467,964","$10,719,195",29,,"$10,082,858","$10,183,687","$10,285,524",29
Kansas City Chiefs,"$22,305,217",16,,"$22,305,217","$22,974,374","$23,663,605","$24,373,513",18,,"$22,840,542","$23,388,715","$23,950,044",18,,"$22,528,269","$22,753,552","$22,981,087",18
Los Angeles Chargers,"$6,202,620",30,,"$6,202,620","$6,388,699","$6,580,360","$6,777,770",32,,"$6,351,483","$6,503,918","$6,660,013",32,,"$6,264,646","$6,327,293","$6,390,566",32
Los Angeles Rams,,,,"$62,000,000","$63,860,000","$65,775,800","$67,749,074",2,,"$63,488,000","$65,011,712","$66,571,993",2,,"$62,620,000","$63,246,200","$63,878,662",2
Miami Dolphins,"$24,140,400",13,,"$24,140,400","$24,864,612","$25,610,551","$26,378,867",15,,"$24,719,770","$25,313,045","$25,920,558",15,,"$24,381,804","$24,625,622","$24,871,879",15
Minnesota Vikings,"$27,070,353",10,,"$27,070,353","$27,882,464","$28,718,938","$29,580,506",12,,"$27,720,041","$28,385,322","$29,066,570",12,,"$27,341,057","$27,614,467","$27,890,612",12
New England Patriots,"$29,042,000",8,,"$29,042,000","$29,913,260","$30,810,658","$31,734,978",10,,"$29,739,008","$30,452,744","$31,183,610",10,,"$29,332,420","$29,625,744","$29,922,002",10
New Orleans Saints,"$26,698,634",12,,"$26,698,634","$27,499,593","$28,324,581","$29,174,318",14,,"$27,339,401","$27,995,547","$28,667,440",14,,"$26,965,620","$27,235,277","$27,507,629",14
New York Giants,"$49,391,066",2,,"$49,391,066","$50,872,798","$52,398,982","$53,970,951",3,,"$50,576,451","$51,790,286","$53,033,253",3,,"$49,884,976","$50,383,826","$50,887,664",3
New York Jets,"$46,256,707",4,,"$46,256,707","$47,644,408","$49,073,740","$50,545,953",5,,"$47,366,868","$48,503,673","$49,667,761",5,,"$46,719,274","$47,186,467","$47,658,331",5
Oakland Raiders,"$5,708,979",31,,"$37,000,000","$38,110,000","$39,253,300","$40,430,899",7,,"$37,888,000","$38,797,312","$39,728,447",7,,"$37,370,000","$37,743,700","$38,121,137",7
Philadelphia Eagles,"$29,249,373",7,,"$29,249,373","$30,126,854","$31,030,660","$31,961,580",9,,"$29,951,358","$30,670,191","$31,406,275",9,,"$29,541,867","$29,837,285","$30,135,658",9
Pittsburgh Steelers,"$15,763,077",21,,"$15,763,077","$16,235,969","$16,723,048","$17,224,740",23,,"$16,141,391","$16,528,784","$16,925,475",23,,"$15,920,708","$16,079,915","$16,240,714",23
San Francisco 49ers,"$41,599,337",5,,"$41,599,337","$42,847,317","$44,132,737","$45,456,719",6,,"$42,597,721","$43,620,066","$44,666,948",6,,"$42,015,330","$42,435,484","$42,859,839",6
Seattle Seahawks,"$24,025,497",14,,"$24,025,497","$24,746,262","$25,488,650","$26,253,309",16,,"$24,602,109","$25,192,560","$25,797,181",16,,"$24,265,752","$24,508,409","$24,753,494",16
Tampa Bay Buccaneers,"$12,847,349",25,,"$12,847,349","$13,232,769","$13,629,752","$14,038,645",27,,"$13,155,685","$13,471,422","$13,794,736",27,,"$12,975,822","$13,105,580","$13,236,636",27
Tennessee Titans,"$13,513,834",23,,"$13,513,834","$13,919,249","$14,336,826","$14,766,931",25,,"$13,838,166","$14,170,282","$14,510,369",25,,"$13,648,972","$13,785,462","$13,923,317",25
Washington Redskins,"$26,755,337",11,,"$26,755,337","$27,557,997","$28,384,737","$29,236,279",13,,"$27,397,465","$28,055,004","$28,728,324",13,,"$27,022,890","$27,293,119","$27,566,050",13
